Node Failure (%),Message Overhead,Algorithms
0.0,317.0,Plebi 0.3 prob topology
0.0,1444.0,Plebi 0.5 prob topology
0.0,2291.0,Plebi 0.7 prob topology
0.0,4062.0,Plebi 0.9 prob topology
0.0,885.0,RAFT
0.0,446.0,Plebi 0.3 prob topology
0.0,1321.0,Plebi 0.5 prob topology
0.0,2768.0,Plebi 0.7 prob topology
0.0,3594.0,Plebi 0.9 prob topology
0.0,900.0,RAFT
0.0,347.0,Plebi 0.3 prob topology
0.0,1845.0,Plebi 0.5 prob topology
0.0,2676.0,Plebi 0.7 prob topology
0.0,3293.0,Plebi 0.9 prob topology
0.0,882.0,RAFT
0.0,279.0,Plebi 0.3 prob topology
0.0,1254.0,Plebi 0.5 prob topology
0.0,2063.0,Plebi 0.7 prob topology
0.0,4016.0,Plebi 0.9 prob topology
0.0,872.0,RAFT
0.0,428.0,Plebi 0.3 prob topology
0.0,1448.0,Plebi 0.5 prob topology
0.0,2085.0,Plebi 0.7 prob topology
0.0,3728.0,Plebi 0.9 prob topology
0.0,900.0,RAFT
50.0,299.0,Plebi 0.3 prob topology
50.0,89.0,Plebi 0.5 prob topology
50.0,671.0,Plebi 0.7 prob topology
50.0,738.0,Plebi 0.9 prob topology
50.0,767.0,RAFT
50.0,165.0,Plebi 0.3 prob topology
50.0,359.0,Plebi 0.5 prob topology
50.0,517.0,Plebi 0.7 prob topology
50.0,1072.0,Plebi 0.9 prob topology
50.0,767.0,RAFT
50.0,431.0,Plebi 0.3 prob topology
50.0,790.0,Plebi 0.5 prob topology
50.0,764.0,Plebi 0.7 prob topology
50.0,1090.0,Plebi 0.9 prob topology
50.0,822.0,RAFT
50.0,164.0,Plebi 0.3 prob topology
50.0,641.0,Plebi 0.5 prob topology
50.0,177.0,Plebi 0.7 prob topology
50.0,1422.0,Plebi 0.9 prob topology
50.0,116.0,RAFT
50.0,117.0,Plebi 0.3 prob topology
50.0,695.0,Plebi 0.5 prob topology
50.0,714.0,Plebi 0.7 prob topology
50.0,1232.0,Plebi 0.9 prob topology
